Timestamp,Memory Usage (%)
2024-01-06 22:27:43,45.75GB,1
2024-01-06 22:28:43,45.75GB,1
2024-01-06 22:29:43,45.75GB,1
2024-01-06 22:30:43,45.75GB,1
2024-01-06 22:31:43,45.74GB,1
2024-01-06 22:32:43,45.75GB,1
2024-01-06 22:33:43,45.75GB,1
2024-01-06 22:34:43,45.75GB,1
2024-01-06 22:35:43,45.76GB,1
2024-01-06 22:36:43,45.77GB,1
2024-01-06 22:37:43,45.76GB,1
2024-01-06 22:38:43,45.77GB,1
2024-01-06 22:39:43,45.77GB,1
2024-01-06 22:40:43,45.77GB,1
2024-01-06 22:41:43,45.77GB,1
2024-01-06 22:42:43,45.77GB,1
2024-01-06 22:43:43,45.76GB,1
2024-01-06 22:44:43,45.76GB,1
2024-01-06 22:45:43,45.77GB,1
2024-01-06 22:46:43,45.77GB,1
2024-01-06 22:47:43,45.77GB,1
2024-01-06 22:48:43,45.77GB,1
2024-01-06 22:49:43,45.77GB,1
2024-01-06 22:50:43,45.77GB,1
2024-01-06 22:51:43,45.76GB,1
2024-01-06 22:52:43,45.76GB,1
2024-01-06 22:53:43,45.76GB,1
2024-01-06 22:54:43,45.76GB,1
2024-01-06 22:55:43,45.76GB,1
2024-01-06 22:56:43,45.77GB,1
2024-01-06 22:57:43,45.77GB,1
2024-01-06 22:58:43,45.77GB,1
2024-01-06 22:59:43,45.77GB,1
2024-01-06 23:00:43,45.76GB,1
2024-01-06 23:01:43,45.76GB,1
2024-01-06 23:02:43,45.77GB,1
2024-01-06 23:03:43,45.77GB,1
2024-01-06 23:04:43,45.77GB,1
2024-01-06 23:05:43,45.77GB,1
2024-01-06 23:06:43,45.77GB,1
2024-01-06 23:07:43,45.77GB,1
2024-01-06 23:08:43,45.77GB,1
2024-01-06 23:09:43,45.77GB,1
2024-01-06 23:10:43,45.77GB,1
2024-01-06 23:11:43,45.78GB,1
2024-01-06 23:12:43,45.77GB,1
2024-01-06 23:13:43,45.77GB,1
2024-01-06 23:14:43,45.77GB,1
2024-01-06 23:15:43,45.77GB,1
2024-01-06 23:16:43,45.77GB,1
2024-01-06 23:17:43,45.77GB,1
2024-01-06 23:18:43,45.78GB,1
2024-01-06 23:19:43,45.77GB,1
2024-01-06 23:20:43,45.78GB,1
2024-01-06 23:21:43,45.78GB,1
2024-01-06 23:22:43,45.79GB,1
2024-01-06 23:23:43,45.78GB,1
2024-01-06 23:24:43,45.78GB,1
2024-01-06 23:25:43,45.78GB,1
2024-01-06 23:26:43,45.78GB,1
2024-01-06 23:27:43,45.78GB,1
2024-01-06 23:28:43,45.79GB,1
2024-01-06 23:29:43,45.78GB,1
2024-01-06 23:30:43,45.79GB,1
2024-01-06 23:31:43,45.79GB,1
2024-01-06 23:32:43,45.79GB,1
2024-01-06 23:33:43,45.78GB,1
2024-01-06 23:34:43,45.79GB,1
2024-01-06 23:35:43,45.79GB,1
2024-01-06 23:36:43,45.79GB,1
2024-01-06 23:37:43,45.79GB,1
2024-01-06 23:38:43,45.79GB,1
2024-01-06 23:39:43,45.79GB,1
2024-01-06 23:40:43,45.79GB,1
2024-01-06 23:41:43,45.79GB,1
2024-01-06 23:42:43,45.78GB,1
2024-01-06 23:43:43,45.70GB,1
2024-01-06 23:44:43,45.70GB,1
2024-01-06 23:45:43,45.69GB,1
2024-01-06 23:46:43,45.69GB,1
2024-01-06 23:47:43,45.69GB,1
2024-01-06 23:48:43,45.70GB,1
2024-01-06 23:49:43,45.70GB,1
2024-01-06 23:50:43,45.70GB,1
2024-01-06 23:51:43,45.70GB,1
2024-01-06 23:52:43,45.70GB,1
2024-01-06 23:53:43,45.70GB,1
2024-01-06 23:54:43,45.70GB,1
2024-01-06 23:55:43,45.69GB,1
2024-01-06 23:56:43,45.69GB,1
2024-01-06 23:57:43,45.68GB,1
2024-01-06 23:58:43,45.68GB,1
2024-01-06 23:59:43,45.68GB,1
2024-01-07 00:00:43,45.67GB,1
2024-01-07 00:01:43,45.66GB,1
2024-01-07 00:02:43,45.67GB,1
2024-01-07 00:03:43,45.67GB,1
2024-01-07 00:04:43,45.67GB,1
2024-01-07 00:05:43,45.68GB,1
2024-01-07 00:06:43,45.68GB,1
2024-01-07 00:07:43,45.68GB,1
2024-01-07 00:08:43,45.68GB,1
2024-01-07 00:09:43,45.68GB,1
2024-01-07 00:10:43,45.68GB,1
2024-01-07 00:11:43,45.68GB,1
2024-01-07 00:12:43,45.67GB,1
2024-01-07 00:13:43,45.68GB,1
2024-01-07 00:14:43,45.67GB,1
2024-01-07 00:15:43,45.68GB,1
2024-01-07 00:16:43,45.68GB,1
2024-01-07 00:17:43,45.68GB,1
2024-01-07 00:18:43,45.67GB,1
2024-01-07 00:19:43,45.68GB,1
2024-01-07 00:20:43,45.67GB,1
2024-01-07 00:21:43,45.66GB,1
2024-01-07 00:22:43,45.67GB,1
2024-01-07 00:23:43,45.67GB,1
2024-01-07 00:24:43,45.67GB,1
2024-01-07 00:25:43,45.67GB,1
2024-01-07 00:26:43,45.67GB,1
2024-01-07 00:27:43,45.67GB,1
2024-01-07 00:28:43,45.67GB,1
2024-01-07 00:29:43,45.67GB,1
2024-01-07 00:30:43,45.67GB,1
2024-01-07 00:31:43,45.67GB,1
2024-01-07 00:32:43,45.67GB,1
2024-01-07 00:33:43,45.68GB,1
2024-01-07 00:34:43,45.68GB,1
2024-01-07 00:35:43,45.68GB,1
2024-01-07 00:36:43,45.68GB,1
2024-01-07 00:37:43,45.68GB,1
2024-01-07 00:38:43,45.68GB,1
2024-01-07 00:39:43,45.68GB,1
2024-01-07 00:40:43,45.68GB,1
2024-01-07 00:41:43,45.68GB,1
2024-01-07 00:42:43,45.67GB,1
2024-01-07 00:43:43,45.68GB,1
2024-01-07 00:44:43,45.68GB,1
2024-01-07 00:45:43,45.67GB,1
2024-01-07 00:46:43,45.67GB,1
2024-01-07 00:47:43,45.68GB,1
2024-01-07 00:48:43,45.68GB,1
2024-01-07 00:49:43,45.68GB,1
2024-01-07 00:50:43,45.69GB,1
2024-01-07 00:51:43,45.68GB,1
2024-01-07 00:52:43,45.69GB,1
2024-01-07 00:53:43,45.68GB,1
2024-01-07 00:54:43,45.69GB,1
2024-01-07 00:55:43,45.69GB,1
2024-01-07 00:56:43,45.69GB,1
